,Sex,Age,Race,OtherRace,HispanicLatino,HighestEducation,HeightInches,WeightPounds,RelationshipStatus,DivorceCount,LongestRelationship,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,RentOwn,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtSources,OtherDebtAmount,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,GamblingProblem,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount,MotivationForParticipation,MotivationOther
s042,0,29,White,,0,4,65,125,1,0,24,3,0,49000,0.0,,0,1.0,1.0,1.0,1.0,,,0,0,0,0,0,0,0,0,money,
s049,1,60,White,,0,2,67,160,2,0,360,1,2,85000,0.0,,1,5.0,3.0,1.0,2.0,,1.0,1,1,1,0,0,0,0,0,money,
s060,1,49,Japanese,,0,4,64,145,1,0,24,3,0,25000,0.0,,0,1.0,1.0,1.0,2.0,,,0,4,0,0,0,0,2,0,money,
s062,1,26, Asian Indian,,0,6,66,132,1,0,15,2,0,60000,0.0,,0,1.0,1.0,8.0,1.0,,1.0,2,2,4,2,0,0,0,0,money,"cognitive exercises, interest in keeping up with current research methodology etc."
s063,1,40,White,,0,3,63,195,3,1,48,4,4,25000,0.0,,0,1.0,1.0,1.0,1.0,,,2,0,1,0,0,0,2,0,money,
s065,1,29,White,,0,4,52,115,1,0,0,0,0,50000,0.0,,0,1.0,1.0,3.0,1.0,,,1,0,0,0,0,0,0,0,money,
s066,1,27, Black or African American,,0,4,66,169,3,0,69,3,2,60000,1.0,10,0,1.0,1.0,4.0,2.0,,,0,2,2,0,0,0,0,0,want to contribute to research,
s071,1,41,White,,0,3,64,200,2,1,132,6,1,99000,1.0,30,1,6.0,1.0,1.0,1.0,none,1.0,5,0,0,0,2,0,1,1,money,n/a
s081,1,43, Black or African American,,0,3,69,180,1,0,48,3,0,52500,0.0,,0,1.0,3.0,1.0,2.0,,,2,0,7,0,0,0,0,0,money,
s082,0,30,White,,0,2,69,220,1,0,0,0,0,25000,0.0,,0,1.0,1.0,1.0,1.0,,1.0,0,0,2,0,0,0,0,0,money,
s083,0,51,White,,0,3,70,252,1,0,24,6,0,13000,0.0,,0,1.0,1.0,1.0,1.0,none,,0,0,14,0,0,0,5,5,money,none
s084,0,46,White,,0,3,60,280,2,3,18,2,3,89000,0.0,0,1,3.0,3.0,1.0,1.0,loans ,2.0,1,0,4,1500,0,0,1,0,money,
s085,1,37,White,,0,4,65,129,1,0,8,3,0,68000,0.0,,0,1.0,1.0,1.0,1.0,none,,0,0,0,0,0,0,3,0,money,
s086,0,25, Vietnamese,,0,4,67,145,1,0,2,3,0,60000,0.0,,1,,1.0,5.0,1.0,,1.0,1,0,0,0,0,0,0,0,money,
s089,1,32,White,,0,4,62,127,2,0,192,1,2,35000,0.0,,1,6.0,1.0,1.0,3.0,none,,0,0,0,0,0,0,0,1,money,
s091,1,30,White,,0,4,67,135,2,0,120,2,0,80000,0.0,,0,1.0,2.0,4.0,2.0,,,5,0,0,0,0,0,0,0,money,
s092,1,34,White,,0,3,66,160,2,0,124,3,3,80000,0.0,,0,1.0,2.0,1.0,2.0,none,1.0,0,0,2,0,0,0,1,0,money,
s093,0,37, Black or African American,,1,3,71,300,3,0,60,6,1,71999,0.0,,1,3.0,1.0,1.0,2.0,girlfriends medical debt,2.0,0,5,0,0,0,1,2,0,want to contribute to research,
s094,0,40,White,,0,4,71,230,1,0,48,5,0,35000,0.0,,1,,,,,,,0,0,2,0,0,0,2,3,money,I didn't mind the last one and figured I would do part 2 as well. Thank you for the opportunity. 
s097,1,33, Black or African American,,0,4,63,155,3,0,66,5,0,60000,0.0,,0,1.0,1.0,7.0,2.0,N/A,,3,2,0,0,0,0,0,0,want to contribute to research,
s098,0,26,White,,0,5,68,135,2,0,126,6,0,27000,0.0,,0,1.0,1.0,4.0,1.0,,,2,0,0,0,0,0,0,0,money,
s103,1,32,White,,0,3,64,141,2,0,159,5,2,15000,0.0,,1,1.0,1.0,1.0,1.0,,1.0,3,2,0,0,0,0,2,0,money,
s106,1,35,White,,0,4,69,145,2,0,24,5,1,25000,0.0,,0,1.0,1.0,1.0,1.0,,,0,0,1,40,0,0,0,0,money,
s108,1,43,White,,0,3,70,200,3,0,240,5,1,50000,1.0,80,1,,1.0,1.0,,,,2,0,0,0,0,0,1,0,money,
s110,1,28,White,,0,3,64,186,2,0,144,2,1,49000,0.0,,0,1.0,2.0,5.0,3.0,,1.0,0,5,4,0,0,0,0,0,money,"No, I do not."
s111,1,37,White,,0,3,62,300,3,0,148,4,0,49500,0.0,,0,,,,,,,2,0,4,0,0,0,0,2,money,
s112,0,25,White,,0,4,72,200,1,0,24,5,0,12000,0.0,,0,1.0,1.0,1.0,1.0,None,1.0,1,0,0,0,0,0,1,0,money,
s121,1,37,White,,0,2,69,160,1,0,0,0,0,29000,1.0,90,1,1.0,1.0,1.0,1.0,n/a,1.0,4,0,0,0,0,0,0,0,money,
s128,1,27,White,,0,3,69,230,2,0,108,5,0,68000,0.0,,0,1.0,1.0,1.0,3.0,,1.0,0,0,1,20,0,0,2,0,money,
s129,0,36,White,,1,3,71,240,1,0,18,2,0,12000,0.0,,1,1.0,1.0,1.0,1.0,,1.0,0,0,0,0,0,0,0,0,money,
s142,0,30,White,,0,4,74,180,1,0,48,3,0,42000,1.0,10,0,1.0,1.0,1.0,1.0,N/A,,2,0,1,0,0,0,1,0,other,Boredom
s145,0,25,White,,1,2,52,185,1,0,31,3,0,110000,0.0,,1,1.0,1.0,,1.0,,,0,0,1,0,0,0,1,0,money,
s149,0,45,White,,0,6,70,185,3,1,98,5,0,115000,1.0,65,0,1.0,1.0,1.0,1.0,n/a,1.0,1,1,0,0,0,0,2,0,money,
s161,1,31,White,,0,3,65,250,2,0,131,5,0,68000,0.0,,0,1.0,3.0,2.0,1.0,Medical debt,4.0,1,2,0,0,0,1,2,0,money,
s163,0,44,White,,0,4,76,193,2,0,180,5,4,99000,1.0,95,1,6.0,2.0,1.0,1.0,,,0,0,0,0,0,0,0,0,money,
s165,0,31, Black or African American,,0,4,70,150,1,0,6,2,0,27000,0.0,,0,1.0,3.0,1.0,1.0,,,0,0,0,0,0,0,1,0,want to contribute to research,
s168,1,33,Chinese,,0,4,62,135,3,0,150,3,0,75000,1.0,95,0,1.0,1.0,1.0,3.0,,1.0,1,0,0,0,0,0,2,0,money,
s170,0,32,Choose not to respond,,0,4,69,146,3,0,50,2,0,45000,0.0,0,1,,,,,n/a,,5,0,0,99999999,0,0,0,0,money,
s173,0,26,White,,0,3,67,130,3,0,26,2,0,40000,0.0,,0,1.0,1.0,1.0,1.0,,,2,0,2,0,0,0,0,0,money,I was invited and want to try and keep up a good relationship with the researchers for future studies since I enjoy their studies.
s179,1,30,White,,0,3,67,197,2,0,144,2,5,30000,0.0,,0,1.0,3.0,5.0,2.0,FURNITURE,3.0,0,0,3,0,0,0,0,1,money,
s180,0,34,White,,0,4,68,185,1,0,66,6,0,19500,0.0,,0,1.0,1.0,4.0,1.0,,1.0,1,1,1,0,0,0,0,2,money,
s182,0,26, Filipino,,0,4,69,300,1,0,0,0,0,50000,0.0,,1,1.0,1.0,3.0,1.0,,,0,0,0,0,0,0,0,0,money,
s184,1,48,White,,0,4,64,160,1,0,72,3,2,65000,1.0,85,1,8.0,1.0,4.0,3.0,none,,4,2,0,0,0,0,3,0,money,
s187,0,28,White,,0,4,69,205,1,0,27,3,0,49000,0.0,,0,1.0,1.0,3.0,2.0,,6.0,3,0,1,0,0,0,0,0,money,
s190,0,30,Chinese,,0,4,67,145,1,0,36,3,0,58000,1.0,15,1,4.0,1.0,3.0,1.0,,,3,1,0,250,0,0,3,0,money,
s192,1,31,White,,0,4,65,110,3,0,90,1,0,80000,0.0,,0,1.0,4.0,1.0,2.0,,,1,1,0,0,0,0,0,0,money,
s196,1,40,White,,0,4,66,175,2,0,201,5,2,35000,0.0,,0,1.0,1.0,1.0,2.0,n/a,1.0,3,0,0,0,0,0,0,0,money,
s198,1,27,White,,0,5,69,132,1,0,24,5,0,20000,0.0,,0,1.0,1.0,1.0,1.0,,,0,0,1,0,0,0,0,0,money,
s205,0,34,White,,0,2,69,120,1,0,66,2,0,20000,0.0,,0,1.0,1.0,1.0,1.0,,1.0,0,6,2,0,0,0,0,0,money,
s206,1,28,White,,0,2,62,140,1,0,28,5,1,28500,0.0,,0,1.0,1.0,1.0,1.0,none,,0,0,1,0,0,0,0,5,money,
s207,1,33,White,,0,4,64,120,2,0,156,1,2,5500,0.0,,0,1.0,1.0,1.0,1.0,none,,0,0,0,0,0,0,0,0,money,
s209,0,42,White,,0,3,68,210,3,1,60,5,3,23500,0.0,,0,1.0,1.0,1.0,2.0,None,,0,0,1,0,0,0,2,1,money,SOME of the tasks are fun
s212,1,32,White,,0,4,65,160,1,0,36,3,0,75000,0.0,,0,1.0,2.0,6.0,2.0,,1.0,0,3,0,0,0,0,2,0,money,
s216,1,47,White,,0,4,66,145,1,1,144,5,2,31000,0.0,,1,1.0,1.0,3.0,1.0,,,10,0,0,0,0,0,1,0,money,
s218,1,38,White,,0,4,60,165,1,1,120,5,5,64000,1.0,5,1,7.0,1.0,1.0,1.0,none,2.0,4,0,0,0,0,0,2,0,money,none
s226,1,30,White,,1,3,60,125,3,1,120,3,2,74000,0.0,,1,6.0,3.0,5.0,3.0,,,1,1,0,0,0,0,0,0,money,
s233,1,42,White,,0,3,65,240,1,0,6,6,0,23000,0.0,,0,1.0,1.0,1.0,2.0,,,0,0,0,65,0,0,5,0,money,
s237,0,31,White,,0,3,70,205,3,1,60,4,1,18000,0.0,,0,1.0,1.0,3.0,2.0,,,4,0,2,0,0,0,0,3,money,
s238,1,24,White,,0,2,52,154,2,0,48,2,4,50000,1.0,0,1,6.0,1.0,1.0,1.0,0,1.0,5,0,3,400,0,0,0,0,money,
s244,1,38,White,,0,4,68,151,1,0,180,6,0,25000,0.0,,0,1.0,1.0,3.0,3.0,,,5,2,0,0,0,0,6,0,money,
s254,1,54,White,,0,3,65,230,2,2,205,5,2,150000,0.0,,1,4.0,1.0,2.0,5.0,Personal loan from relative,3.0,0,6,0,0,0,0,4,0,money,
s259,0,26,White,,0,3,66,120,1,0,9,4,0,21000,0.0,,0,1.0,1.0,1.0,1.0,Previous evictions,4.0,0,0,2,50,0,0,2,0,money,
s262,1,36, Other Asian,,0,4,62,112,1,0,48,3,0,50000,1.0,30,1,4.0,3.0,4.0,2.0,,1.0,2,1,0,0,0,0,0,0,money,
s265,0,38,White,,0,5,68,195,2,0,147,5,2,92813,1.0,50,1,7.0,5.0,1.0,3.0,none,1.0,3,1,0,0,0,1,1,1,money,
s269,1,29,White,,0,4,67,150,2,0,45,5,0,60000,1.0,30,0,1.0,3.0,5.0,3.0,none,1.0,1,1,5,1200,0,0,2,1,money,
s273,0,33,White,,0,4,64,130,1,0,4,5,0,48000,1.0,30,0,1.0,2.0,1.0,1.0,APR free loan for purchase of phone.,2.0,1,0,1,200,0,0,0,0,money,
s275,1,33,White,,0,3,66,135,3,0,36,4,0,55000,1.0,45,1,1.0,2.0,2.0,2.0,,,2,0,3,400,0,0,0,0,money,curiosity
s277,1,27,White,,1,4,64,126,2,0,75,1,0,45000,0.0,,0,1.0,1.0,1.0,1.0,,1.0,1,0,0,95,0,0,0,0,money,
s284,0,36,Japanese,,0,3,64,142,1,0,12,2,0,60000,0.0,,1,1.0,1.0,1.0,1.0,,1.0,0,0,2,60,0,0,0,0,money,
s285,1,45, Black or African American,,0,4,65,230,1,0,60,4,0,25000,1.0,80,1,5.0,1.0,6.0,6.0,none,1.0,2,0,2,0,0,0,0,0,want to contribute to research,
s286,0,32,White,,0,4,72,140,1,0,24,5,0,30000,0.0,,0,1.0,1.0,1.0,1.0,none,1.0,5,0,0,250,0,0,0,0,money,
s291,1,30,White,,0,4,61,115,2,0,90,3,0,104000,0.0,,0,3.0,1.0,1.0,3.0,none,1.0,0,1,1,57,0,0,2,0,money,none
s294,1,24,White,,0,3,70,162,3,0,42,1,0,1500,0.0,,0,1.0,1.0,1.0,1.0,,,1,2,0,0,0,0,0,0,money,
s295,0,27, Black or African American,,0,3,75,164,1,0,47,3,0,45000,0.0,,1,4.0,3.0,1.0,1.0,,,2,0,0,0,0,0,3,1,want to contribute to research,
s301,0,27,White,,0,4,68,200,1,0,30,2,0,38000,0.0,,1,1.0,1.0,4.0,1.0,,,0,0,0,30,0,0,2,0,money,
s305,0,28,White,,1,3,74,245,2,0,40,5,0,35000,0.0,0,0,1.0,3.0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,money,
s307,0,29,White,,0,4,69,170,3,0,38,5,0,52000,0.0,,1,7.0,1.0,5.0,1.0,,,3,0,0,0,0,0,1,0,money,
s313,1,24, Black or African American,,0,4,66,160,1,0,0,0,0,22000,0.0,,1,1.0,1.0,1.0,1.0,,,0,0,0,0,0,0,0,0,money,
s314,0,28,White,n/a,0,4,72,325,1,0,23,2,0,55000,0.0,,0,1.0,2.0,5.0,1.0,,1.0,0,0,0,0,0,0,0,0,money,
s326,0,43,White,,0,2,66,135,1,0,132,3,0,33000,0.0,0,0,1.0,1.0,1.0,1.0,na,1.0,2,0,1,0,0,0,4,0,want to contribute to research,
s328,0,25,White,,1,4,67,130,3,0,72,2,0,47000,0.0,,0,1.0,3.0,2.0,3.0,,1.0,1,0,1,10,0,0,0,0,money,
s329,1,33,White,,0,3,65,245,3,0,96,3,0,41000,0.0,,0,1.0,3.0,1.0,3.0,none,1.0,0,1,3,100,0,0,3,0,money,
s334,1,33,White,,0,4,63,155,2,0,84,4,2,70000,1.0,100,1,7.0,3.0,1.0,2.0,,1.0,3,0,2,1000,0,0,2,1,money,
s336,0,26,White,,0,4,70,228,1,0,15,1,0,25000,0.0,,1,,1.0,3.0,1.0,,,1,3,0,125,1,0,0,0,money,
s339,1,28,White,,0,3,65,200,2,0,120,2,2,75000,0.0,,1,7.0,3.0,1.0,3.0,,,1,0,3,0,0,0,1,0,money,
s346,0,42, Black or African American,,0,4,75,215,2,0,240,5,2,89000,1.0,15,1,5.0,1.0,1.0,1.0,,1.0,0,0,0,0,0,0,3,0,want to contribute to research,
s357,1,49, American Indian or Alaska Native,,0,3,64,120,3,2,185,5,2,55000,0.0,,1,4.0,1.0,2.0,2.0,,,2,1,0,150,0,0,2,0,money,
s359,0,36, Asian Indian,,0,4,63,186,2,0,30,1,2,87000,0.0,,0,3.0,3.0,1.0,2.0,,1.0,1,1,0,10,1,1,1,0,money,
s365,0,43,White,,0,4,69,210,1,0,10,3,0,16000,0.0,,1,1.0,1.0,1.0,5.0,none,1.0,6,0,2,0,0,2,4,5,money,
s368,0,50,White,,0,2,76,300,2,0,36,5,0,23000,0.0,,1,1.0,1.0,1.0,1.0,hospital bills,3.0,1,2,3,12,0,0,3,0,money,see how well I do
s369,1,34, Black or African American,,0,4,71,185,1,0,24,3,0,55000,0.0,,0,1.0,1.0,5.0,3.0,,,2,1,0,0,0,0,0,0,tasks are fun,
s372,0,37,White,,0,4,72,225,1,0,2,1,0,50000,1.0,75,0,1.0,1.0,5.0,1.0,,,2,0,0,0,0,0,0,0,money,
s373,0,27, American Indian or Alaska Native,,1,4,67,140,1,0,13,3,0,20000,0.0,,0,1.0,5.0,1.0,1.0,,1.0,2,0,2,200,0,0,0,0,money,
s374,0,34,White,,0,4,73,175,1,0,50,5,0,29000,0.0,,0,1.0,1.0,4.0,1.0,,,0,0,0,0,0,0,3,0,money,
s376,0,39,White,,0,4,76,265,2,0,144,2,2,82000,1.0,50,1,6.0,5.0,4.0,4.0,,,0,0,0,100,0,0,1,0,money,
s380,1,44,White,,0,2,66,170,2,0,266,2,2,60000,0.0,0,1,7.0,3.0,1.0,2.0,n/a,1.0,1,0,0,0,0,0,0,0,money,none
s383,1,50,White,,0,3,64,185,2,1,339,4,2,95000,1.0,60,1,7.0,4.0,1.0,4.0,,,2,0,1,20,0,0,2,0,money,
s384,0,25,White,,0,4,75,180,1,0,0,0,0,30000,0.0,,0,1.0,1.0,5.0,1.0,,1.0,4,0,0,0,0,0,2,0,money,
s388,1,35,White,,0,5,69,250,2,0,198,3,2,125000,1.0,25,1,7.0,4.0,7.0,4.0,,,2,0,1,0,0,0,3,1,money,
s391,0,33,White,,0,2,71,225,1,0,12,3,0,50000,0.0,,1,,,,,,,0,0,4,0,0,0,0,0,money,
s396,0,35, Middle Eastern or North African,,0,6,70,122,2,0,173,4,0,149000,1.0,75,0,1.0,1.0,1.0,1.0,none,,1,0,0,0,0,0,0,0,want to contribute to research,
s397,0,41,White,,0,3,67,125,3,0,240,1,0,48000,0.0,,1,1.0,1.0,1.0,1.0,,1.0,2,1,0,0,0,0,1,0,money,
s402,1,21,White,,0,3,64,201,1,0,0,0,0,10000,0.0,,0,1.0,1.0,2.0,1.0,,1.0,1,2,1,5,0,0,2,0,money,
s403,1,23,Other,Hispanic/Cuban,1,3,64,265,1,0,0,0,0,32000,0.0,,0,1.0,1.0,3.0,1.0,,,0,0,3,30,0,0,0,0,money,
s408,1,48,White,,0,3,65,154,2,0,253,5,1,34000,0.0,,1,4.0,3.0,1.0,2.0,none,1.0,0,0,6,0,0,0,5,1,money,
s409,1,41,White,,0,2,64,115,3,1,180,5,0,24000,1.0,20,0,1.0,3.0,1.0,1.0,,,0,3,1,0,0,0,0,0,money,
s420,1,34,White,,0,4,71,225,2,0,214,2,2,95000,1.0,,1,7.0,4.0,1.0,3.0,,,1,0,1,50,0,0,2,1,money,
s421,1,34,White,,0,4,63,133,2,1,78,5,2,39000,1.0,0,0,1.0,1.0,3.0,1.0,0,,1,0,0,0,0,0,0,0,money,
s425,1,34,White,,0,3,62,200,2,0,120,6,1,5000,0.0,,1,1.0,1.0,1.0,1.0,none,1.0,0,1,3,0,0,0,1,3,money,
s427,0,34,White,,0,5,72,221,3,0,37,4,0,81000,1.0,95,0,1.0,1.0,5.0,1.0,,,4,0,0,0,0,0,2,0,money,
s430,1,32,White,,0,3,63,200,3,0,144,1,4,40000,0.0,,0,1.0,1.0,3.0,2.0,,1.0,3,0,2,0,0,0,0,0,want to contribute to research,
s441,0,40,White,,0,3,63,155,2,0,159,6,1,10000,0.0,,1,3.0,1.0,3.0,1.0,,,6,0,5,0,0,0,5,5,money,FOR GREAT SCIENCE
s442,0,34,White,,0,4,69,185,2,0,54,3,0,50000,0.0,,0,1.0,1.0,1.0,1.0,,1.0,1,0,0,0,0,0,0,0,money,
s449,1,37,White,,0,6,65,150,2,0,174,4,2,245000,1.0,10,1,7.0,1.0,1.0,3.0,none,1.0,0,0,1,160,0,0,3,0,money,
s451,1,36,White,,0,4,64,165,1,1,120,6,0,25000,0.0,,1,5.0,1.0,1.0,6.0,,,0,3,0,0,0,0,1,0,money,
s453,0,42,White,,0,2,72,213,2,0,204,1,5,40000,0.0,,1,1.0,1.0,1.0,1.0,none,1.0,3,5,2,600,0,0,0,0,money,
s456,0,27,White,,0,4,70,167,1,0,36,3,0,20000,0.0,,0,2.0,4.0,1.0,3.0,,1.0,0,2,0,0,0,2,2,0,money,
s467,1,51,White,,0,2,65,280,1,1,300,2,4,30000,0.0,0,0,2.0,1.0,3.0,1.0,none,1.0,3,0,1,4,0,0,0,0,money,
s469,1,43,White,,0,4,67,180,1,0,85,4,0,17000,0.0,,1,2.0,1.0,1.0,2.0,,,0,2,0,0,0,0,0,0,money,
s471,0,33,White,,0,4,69,155,1,0,38,5,0,75000,0.0,0,0,1.0,1.0,1.0,2.0,none,1.0,2,0,0,100,0,0,0,0,money,none
s473,0,23,Chinese,,0,4,70,150,1,0,45,1,0,45000,0.0,,0,,,1.0,1.0,,,1,0,1,150,0,1,0,0,money,
s477,0,32,White,,0,2,66,135,1,0,6,2,0,10000,0.0,,1,4.0,1.0,1.0,3.0,,1.0,1,0,1,0,0,0,0,1,money,
s481,1,29,White,,0,5,66,185,1,0,18,3,0,16000,0.0,,0,1.0,1.0,7.0,2.0,,,1,0,1,0,0,0,2,0,money,
s484,0,38,White,,1,2,70,180,2,0,102,2,1,25000,0.0,,1,1.0,3.0,1.0,2.0,none,1.0,1,2,0,0,0,0,0,0,money,none
s489,1,34,White,,0,4,62,196,2,0,165,5,2,130000,0.0,,1,8.0,7.0,1.0,4.0,,1.0,2,1,0,0,0,0,3,0,money,
s492,0,30,Choose not to respond,,0,3,72,300,3,0,42,5,2,60000,0.0,,0,1.0,2.0,3.0,2.0,,3.0,0,0,0,0,0,0,0,1,money,
s495,1,41,White,,1,3,63,150,2,0,44,2,1,35000,0.0,,0,1.0,1.0,1.0,3.0,,,1,0,1,0,0,0,0,0,money,
s500,1,46,White,,0,6,67,175,1,0,48,4,0,109000,1.0,75,1,7.0,1.0,4.0,4.0,,1.0,3,1,0,0,0,0,2,1,money,
s501,1,34,White,,0,4,63,117,1,0,126,3,2,12000,1.0,100,0,1.0,1.0,1.0,1.0,0,1.0,2,0,1,0,0,0,1,0,money,
s502,1,33,Chinese,,0,4,61,103,3,0,11,5,0,33330,1.0,0,0,,,,3.0,,,1,0,0,100,0,0,0,0,money,
s504,0,41,White,,0,5,67,268,1,0,15,3,0,48000,1.0,100,0,1.0,1.0,4.0,1.0,,,4,0,0,400,0,0,2,0,money,
s505,0,25,White,,0,4,68,165,3,0,32,3,0,21000,0.0,,0,1.0,2.0,5.0,3.0,,5.0,2,0,0,0,1,1,1,0,money,
s507,1,33,White,,0,4,69,214,2,0,173,3,1,62000,1.0,60,0,,4.0,4.0,3.0,,,0,0,2,0,0,0,1,0,money,
s508,1,29, Other Asian,,0,4,68,130,3,0,80,1,0,42000,0.0,,0,1.0,4.0,4.0,3.0,N/A,1.0,0,1,0,0,0,0,1,0,money,
s509,1,34,White,,1,3,62,185,1,1,24,4,1,24000,0.0,,0,1.0,1.0,1.0,2.0,,,1,1,1,0,0,0,3,0,money,curiosity
s510,1,44,White,,0,4,66,190,2,0,240,6,1,45000,0.0,,0,2.0,1.0,1.0,1.0,,1.0,3,0,0,0,0,1,1,1,money,
s551,0,38,White,,0,3,67,140,2,2,240,6,1,15000,1.0,0,0,3.0,1.0,2.0,1.0,,,0,2,0,95,0,0,2,2,money,
s556,0,44,White,,0,4,70,200,2,0,120,5,2,90000,0.0,,1,8.0,8.0,1.0,3.0,,,5,2,4,0,0,1,0,0,money,
