,Age,HighestEducation,HeightInches,WeightPounds,DivorceCount,LongestRelationship,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtAmount,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount
s106,35,4,69,145,0,24,5,1,25000,0.0,,1.0,1.0,1.0,1.0,,0,0,1,40,0,0,0
s108,43,3,70,200,0,240,5,1,50000,1.0,80,,1.0,1.0,,,2,0,0,0,0,1,0
s110,28,3,64,186,0,144,2,1,49000,0.0,,1.0,2.0,5.0,3.0,1.0,0,5,4,0,0,0,0
s111,37,3,62,300,0,148,4,0,49500,0.0,,,,,,,2,0,4,0,0,0,2
s112,25,4,72,200,0,24,5,0,12000,0.0,,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,0
s121,37,2,69,160,0,0,0,0,29000,1.0,90,1.0,1.0,1.0,1.0,1.0,4,0,0,0,0,0,0
s128,27,3,69,230,0,108,5,0,68000,0.0,,1.0,1.0,1.0,3.0,1.0,0,0,1,20,0,2,0
s129,36,3,71,240,0,18,2,0,12000,0.0,,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0
s142,30,4,74,180,0,48,3,0,42000,1.0,10,1.0,1.0,1.0,1.0,,2,0,1,0,0,1,0
s145,25,2,52,185,0,31,3,0,110000,0.0,,1.0,1.0,,1.0,,0,0,1,0,0,1,0
s149,45,6,70,185,1,98,5,0,115000,1.0,65,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0,2,0
s161,31,3,65,250,0,131,5,0,68000,0.0,,1.0,3.0,2.0,1.0,4.0,1,2,0,0,1,2,0
s163,44,4,76,193,0,180,5,4,99000,1.0,95,6.0,2.0,1.0,1.0,,0,0,0,0,0,0,0
s165,31,4,70,150,0,6,2,0,27000,0.0,,1.0,3.0,1.0,1.0,,0,0,0,0,0,1,0
s168,33,4,62,135,0,150,3,0,75000,1.0,95,1.0,1.0,1.0,3.0,1.0,1,0,0,0,0,2,0
s170,32,4,69,146,0,50,2,0,45000,0.0,0,,,,,,5,0,0,99999999,0,0,0
s173,26,3,67,130,0,26,2,0,40000,0.0,,1.0,1.0,1.0,1.0,,2,0,2,0,0,0,0
s179,30,3,67,197,0,144,2,5,30000,0.0,,1.0,3.0,5.0,2.0,3.0,0,0,3,0,0,0,1
s180,34,4,68,185,0,66,6,0,19500,0.0,,1.0,1.0,4.0,1.0,1.0,1,1,1,0,0,0,2
s182,26,4,69,300,0,0,0,0,50000,0.0,,1.0,1.0,3.0,1.0,,0,0,0,0,0,0,0
s184,48,4,64,160,0,72,3,2,65000,1.0,85,8.0,1.0,4.0,3.0,,4,2,0,0,0,3,0
s187,28,4,69,205,0,27,3,0,49000,0.0,,1.0,1.0,3.0,2.0,6.0,3,0,1,0,0,0,0
s190,30,4,67,145,0,36,3,0,58000,1.0,15,4.0,1.0,3.0,1.0,,3,1,0,250,0,3,0
s192,31,4,65,110,0,90,1,0,80000,0.0,,1.0,4.0,1.0,2.0,,1,1,0,0,0,0,0
s196,40,4,66,175,0,201,5,2,35000,0.0,,1.0,1.0,1.0,2.0,1.0,3,0,0,0,0,0,0
s198,27,5,69,132,0,24,5,0,20000,0.0,,1.0,1.0,1.0,1.0,,0,0,1,0,0,0,0
s205,34,2,69,120,0,66,2,0,20000,0.0,,1.0,1.0,1.0,1.0,1.0,0,6,2,0,0,0,0
s206,28,2,62,140,0,28,5,1,28500,0.0,,1.0,1.0,1.0,1.0,,0,0,1,0,0,0,5
s207,33,4,64,120,0,156,1,2,5500,0.0,,1.0,1.0,1.0,1.0,,0,0,0,0,0,0,0
s209,42,3,68,210,1,60,5,3,23500,0.0,,1.0,1.0,1.0,2.0,,0,0,1,0,0,2,1
s212,32,4,65,160,0,36,3,0,75000,0.0,,1.0,2.0,6.0,2.0,1.0,0,3,0,0,0,2,0
s216,47,4,66,145,1,144,5,2,31000,0.0,,1.0,1.0,3.0,1.0,,10,0,0,0,0,1,0
s218,38,4,60,165,1,120,5,5,64000,1.0,5,7.0,1.0,1.0,1.0,2.0,4,0,0,0,0,2,0
s226,30,3,60,125,1,120,3,2,74000,0.0,,6.0,3.0,5.0,3.0,,1,1,0,0,0,0,0
s233,42,3,65,240,0,6,6,0,23000,0.0,,1.0,1.0,1.0,2.0,,0,0,0,65,0,5,0
s237,31,3,70,205,1,60,4,1,18000,0.0,,1.0,1.0,3.0,2.0,,4,0,2,0,0,0,3
s238,24,2,52,154,0,48,2,4,50000,1.0,0,6.0,1.0,1.0,1.0,1.0,5,0,3,400,0,0,0
s244,38,4,68,151,0,180,6,0,25000,0.0,,1.0,1.0,3.0,3.0,,5,2,0,0,0,6,0
s254,54,3,65,230,2,205,5,2,150000,0.0,,4.0,1.0,2.0,5.0,3.0,0,6,0,0,0,4,0
s259,26,3,66,120,0,9,4,0,21000,0.0,,1.0,1.0,1.0,1.0,4.0,0,0,2,50,0,2,0
s262,36,4,62,112,0,48,3,0,50000,1.0,30,4.0,3.0,4.0,2.0,1.0,2,1,0,0,0,0,0
s265,38,5,68,195,0,147,5,2,92813,1.0,50,7.0,5.0,1.0,3.0,1.0,3,1,0,0,1,1,1
s269,29,4,67,150,0,45,5,0,60000,1.0,30,1.0,3.0,5.0,3.0,1.0,1,1,5,1200,0,2,1
s273,33,4,64,130,0,4,5,0,48000,1.0,30,1.0,2.0,1.0,1.0,2.0,1,0,1,200,0,0,0
s275,33,3,66,135,0,36,4,0,55000,1.0,45,1.0,2.0,2.0,2.0,,2,0,3,400,0,0,0
s277,27,4,64,126,0,75,1,0,45000,0.0,,1.0,1.0,1.0,1.0,1.0,1,0,0,95,0,0,0
s284,36,3,64,142,0,12,2,0,60000,0.0,,1.0,1.0,1.0,1.0,1.0,0,0,2,60,0,0,0
s285,45,4,65,230,0,60,4,0,25000,1.0,80,5.0,1.0,6.0,6.0,1.0,2,0,2,0,0,0,0
s286,32,4,72,140,0,24,5,0,30000,0.0,,1.0,1.0,1.0,1.0,1.0,5,0,0,250,0,0,0
s291,30,4,61,115,0,90,3,0,104000,0.0,,3.0,1.0,1.0,3.0,1.0,0,1,1,57,0,2,0
s294,24,3,70,162,0,42,1,0,1500,0.0,,1.0,1.0,1.0,1.0,,1,2,0,0,0,0,0
s295,27,3,75,164,0,47,3,0,45000,0.0,,4.0,3.0,1.0,1.0,,2,0,0,0,0,3,1
s301,27,4,68,200,0,30,2,0,38000,0.0,,1.0,1.0,4.0,1.0,,0,0,0,30,0,2,0
s305,28,3,74,245,0,40,5,0,35000,0.0,0,1.0,3.0,1.0,1.0,1.0,0,0,0,0,0,0,0
s307,29,4,69,170,0,38,5,0,52000,0.0,,7.0,1.0,5.0,1.0,,3,0,0,0,0,1,0
s313,24,4,66,160,0,0,0,0,22000,0.0,,1.0,1.0,1.0,1.0,,0,0,0,0,0,0,0
s314,28,4,72,325,0,23,2,0,55000,0.0,,1.0,2.0,5.0,1.0,1.0,0,0,0,0,0,0,0
s326,43,2,66,135,0,132,3,0,33000,0.0,0,1.0,1.0,1.0,1.0,1.0,2,0,1,0,0,4,0
s328,25,4,67,130,0,72,2,0,47000,0.0,,1.0,3.0,2.0,3.0,1.0,1,0,1,10,0,0,0
s329,33,3,65,245,0,96,3,0,41000,0.0,,1.0,3.0,1.0,3.0,1.0,0,1,3,100,0,3,0
s334,33,4,63,155,0,84,4,2,70000,1.0,100,7.0,3.0,1.0,2.0,1.0,3,0,2,1000,0,2,1
s336,26,4,70,228,0,15,1,0,25000,0.0,,,1.0,3.0,1.0,,1,3,0,125,0,0,0
s339,28,3,65,200,0,120,2,2,75000,0.0,,7.0,3.0,1.0,3.0,,1,0,3,0,0,1,0
s346,42,4,75,215,0,240,5,2,89000,1.0,15,5.0,1.0,1.0,1.0,1.0,0,0,0,0,0,3,0
s357,49,3,64,120,2,185,5,2,55000,0.0,,4.0,1.0,2.0,2.0,,2,1,0,150,0,2,0
s359,36,4,63,186,0,30,1,2,87000,0.0,,3.0,3.0,1.0,2.0,1.0,1,1,0,10,1,1,0
s365,43,4,69,210,0,10,3,0,16000,0.0,,1.0,1.0,1.0,5.0,1.0,6,0,2,0,2,4,5
s368,50,2,76,300,0,36,5,0,23000,0.0,,1.0,1.0,1.0,1.0,3.0,1,2,3,12,0,3,0
s369,34,4,71,185,0,24,3,0,55000,0.0,,1.0,1.0,5.0,3.0,,2,1,0,0,0,0,0
s372,37,4,72,225,0,2,1,0,50000,1.0,75,1.0,1.0,5.0,1.0,,2,0,0,0,0,0,0
s373,27,4,67,140,0,13,3,0,20000,0.0,,1.0,5.0,1.0,1.0,1.0,2,0,2,200,0,0,0
s374,34,4,73,175,0,50,5,0,29000,0.0,,1.0,1.0,4.0,1.0,,0,0,0,0,0,3,0
s376,39,4,76,265,0,144,2,2,82000,1.0,50,6.0,5.0,4.0,4.0,,0,0,0,100,0,1,0
s380,44,2,66,170,0,266,2,2,60000,0.0,0,7.0,3.0,1.0,2.0,1.0,1,0,0,0,0,0,0
s383,50,3,64,185,1,339,4,2,95000,1.0,60,7.0,4.0,1.0,4.0,,2,0,1,20,0,2,0
s384,25,4,75,180,0,0,0,0,30000,0.0,,1.0,1.0,5.0,1.0,1.0,4,0,0,0,0,2,0
s388,35,5,69,250,0,198,3,2,125000,1.0,25,7.0,4.0,7.0,4.0,,2,0,1,0,0,3,1
s391,33,2,71,225,0,12,3,0,50000,0.0,,,,,,,0,0,4,0,0,0,0
s396,35,6,70,122,0,173,4,0,149000,1.0,75,1.0,1.0,1.0,1.0,,1,0,0,0,0,0,0
s397,41,3,67,125,0,240,1,0,48000,0.0,,1.0,1.0,1.0,1.0,1.0,2,1,0,0,0,1,0
s402,21,3,64,201,0,0,0,0,10000,0.0,,1.0,1.0,2.0,1.0,1.0,1,2,1,5,0,2,0
s403,23,3,64,265,0,0,0,0,32000,0.0,,1.0,1.0,3.0,1.0,,0,0,3,30,0,0,0
s408,48,3,65,154,0,253,5,1,34000,0.0,,4.0,3.0,1.0,2.0,1.0,0,0,6,0,0,5,1
s409,41,2,64,115,1,180,5,0,24000,1.0,20,1.0,3.0,1.0,1.0,,0,3,1,0,0,0,0
s420,34,4,71,225,0,214,2,2,95000,1.0,,7.0,4.0,1.0,3.0,,1,0,1,50,0,2,1
s421,34,4,63,133,1,78,5,2,39000,1.0,0,1.0,1.0,3.0,1.0,,1,0,0,0,0,0,0
s425,34,3,62,200,0,120,6,1,5000,0.0,,1.0,1.0,1.0,1.0,1.0,0,1,3,0,0,1,3
s427,34,5,72,221,0,37,4,0,81000,1.0,95,1.0,1.0,5.0,1.0,,4,0,0,0,0,2,0
s430,32,3,63,200,0,144,1,4,40000,0.0,,1.0,1.0,3.0,2.0,1.0,3,0,2,0,0,0,0
s441,40,3,63,155,0,159,6,1,10000,0.0,,3.0,1.0,3.0,1.0,,6,0,5,0,0,5,5
s442,34,4,69,185,0,54,3,0,50000,0.0,,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
s449,37,6,65,150,0,174,4,2,245000,1.0,10,7.0,1.0,1.0,3.0,1.0,0,0,1,160,0,3,0
s451,36,4,64,165,1,120,6,0,25000,0.0,,5.0,1.0,1.0,6.0,,0,3,0,0,0,1,0
s453,42,2,72,213,0,204,1,5,40000,0.0,,1.0,1.0,1.0,1.0,1.0,3,5,2,600,0,0,0
s456,27,4,70,167,0,36,3,0,20000,0.0,,2.0,4.0,1.0,3.0,1.0,0,2,0,0,2,2,0
s467,51,2,65,280,1,300,2,4,30000,0.0,0,2.0,1.0,3.0,1.0,1.0,3,0,1,4,0,0,0
s469,43,4,67,180,0,85,4,0,17000,0.0,,2.0,1.0,1.0,2.0,,0,2,0,0,0,0,0
s471,33,4,69,155,0,38,5,0,75000,0.0,0,1.0,1.0,1.0,2.0,1.0,2,0,0,100,0,0,0
s473,23,4,70,150,0,45,1,0,45000,0.0,,,,1.0,1.0,,1,0,1,150,1,0,0
s477,32,2,66,135,0,6,2,0,10000,0.0,,4.0,1.0,1.0,3.0,1.0,1,0,1,0,0,0,1
s481,29,5,66,185,0,18,3,0,16000,0.0,,1.0,1.0,7.0,2.0,,1,0,1,0,0,2,0
s484,38,2,70,180,0,102,2,1,25000,0.0,,1.0,3.0,1.0,2.0,1.0,1,2,0,0,0,0,0
s489,34,4,62,196,0,165,5,2,130000,0.0,,8.0,7.0,1.0,4.0,1.0,2,1,0,0,0,3,0
s492,30,3,72,300,0,42,5,2,60000,0.0,,1.0,2.0,3.0,2.0,3.0,0,0,0,0,0,0,1
s495,41,3,63,150,0,44,2,1,35000,0.0,,1.0,1.0,1.0,3.0,,1,0,1,0,0,0,0
s500,46,6,67,175,0,48,4,0,109000,1.0,75,7.0,1.0,4.0,4.0,1.0,3,1,0,0,0,2,1
s501,34,4,63,117,0,126,3,2,12000,1.0,100,1.0,1.0,1.0,1.0,1.0,2,0,1,0,0,1,0
s502,33,4,61,103,0,11,5,0,33330,1.0,0,,,,3.0,,1,0,0,100,0,0,0
s504,41,5,67,268,0,15,3,0,48000,1.0,100,1.0,1.0,4.0,1.0,,4,0,0,400,0,2,0
s505,25,4,68,165,0,32,3,0,21000,0.0,,1.0,2.0,5.0,3.0,5.0,2,0,0,0,1,1,0
s507,33,4,69,214,0,173,3,1,62000,1.0,60,,4.0,4.0,3.0,,0,0,2,0,0,1,0
s508,29,4,68,130,0,80,1,0,42000,0.0,,1.0,4.0,4.0,3.0,1.0,0,1,0,0,0,1,0
s509,34,3,62,185,1,24,4,1,24000,0.0,,1.0,1.0,1.0,2.0,,1,1,1,0,0,3,0
s510,44,4,66,190,0,240,6,1,45000,0.0,,2.0,1.0,1.0,1.0,1.0,3,0,0,0,1,1,1
s551,38,3,67,140,2,240,6,1,15000,1.0,0,3.0,1.0,2.0,1.0,,0,2,0,95,0,2,2
s556,44,4,70,200,0,120,5,2,90000,0.0,,8.0,8.0,1.0,3.0,,5,2,4,0,1,0,0
